Movie Title,Director,Count,Picked By
City Lights,Charles Chaplin,9,"STELLAN SKARSGÅRD, NATASHA LYONNE, JIA ZHANGKE, CAROL KANE, KOJI YAKUSHO, KOJI YAKUSHO, RICHARD E. GRANT, AMY HECKERLING, SLAVOJ ŽIŽEK"
In the Mood for Love,Wong Kar Wai,9,"LUCY LIU, DIANE KRUGER, JUDD APATOW, NICHOLAS HOULT, JOEL KIM BOOSTER, GINA PRINCE-BYTHEWOOD, RODARTE, ASIF KAPADIA, SAUL WILLIAMS AND ANISIA UZEYMAN"
Down by Law,Jim Jarmusch,9,"TOM ROTHMAN, RZA, JULIETTE BINOCHE AND RALPH FIENNES, WINONA RYDER, MICHAEL SHANNON, LILY GLADSTONE & ERICA TREMBLAY, MINNIE DRIVER, FREDERICK WISEMAN, JAMES ACHESON"
To Sleep with Anger,Charles Burnett,9,"TOM ROTHMAN, DEREK CIANFRANCE, RAMELL ROSS, ANDRÉ HOLLAND, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, AYO EDEBIRI, CARL FRANKLIN, CAULEEN SMITH, ELVIS MITCHELL"
Punch-Drunk Love,Paul Thomas Anderson,9,"RACHEL SENNOTT, MARGARET QUALLEY, AIMEE LOU WOOD, GINTS ZILBALODIS, CHARLIE DAY, ​LUIS GUZMÁN, TYLER MITCHELL, BEN SINCLAIR, LEE UNKRICH"
Shampoo,Hal Ashby,9,"SETH ROGEN & EVAN GOLDBERG, ROSANNA ARQUETTE, JULIA GARNER, MAURA TIERNEY, CAROL KANE, RODARTE, JAMES L. BROOKS, FIVE COMICS, NEAL BRENNAN"
Blue Velvet,David Lynch,9,"BETSEY JOHNSON, PAMELA ANDERSON, SIMON PEGG, AMY IRVING, NORMAN REEDUS, JARVIS COCKER, PAUL GIAMATTI, KYLE MACLACHLAN, VICKY KRIEPS"
La Jetée/Sans Soleil,Collector’s Set,9,"DIEGO LUNA, PAYAL KAPADIA, RAMELL ROSS, PAUL B. PRECIADO, CAULEEN SMITH, TIM ROBBINS, SARA DOSA, JOACHIM TRIER, THE WOLFPACK"
Pasolini 101,Collector’s Set,8,"ATOM EGOYAN, DEREK CIANFRANCE, MATT DILLON, BRADY CORBET, JULIETTE BINOCHE AND RALPH FIENNES, JASON SCHWARTZMAN, PAUL B. PRECIADO, BERTRAND BONELLO"
Ingmar Bergman’s Cinema,Collector’s Set,8,"ATOM EGOYAN, LAV DIAZ, PAMELA ANDERSON, DAVID CRONENBERG, CHARLES BURNETT, ANNA KENDRICK, CATE BLANCHETT AND TODD FIELD, NURI BILGE CEYLAN"
Being There,Hal Ashby,8,"TED DANSON & MARY STEENBURGEN, NICHOLAS HOULT, GINTS ZILBALODIS, MICHAEL SHANNON, CHARLIE DAY, MARC MARON, KYLE MACLACHLAN, WILCO"
Melvin Van Peebles: Essential Films,Collector’s Set,8,"VINCE STAPLES, RZA, CHARLES BURNETT, ANDRÉ HOLLAND, JEREMY O. HARRIS, TRACE LYSETTE, ELVIS MITCHELL, GARRETT BRADLEY"
Barry Lyndon,Stanley Kubrick,8,"NIA DACOSTA, RONAN FARROW, BILL HADER, CHARLIE DAY, KLEBER MENDONÇA FILHO, HLYNUR PÁLMASON, MARCO BELLOCCHIO, NEAL BRENNAN"
My Own Private Idaho,Gus Van Sant,8,"UDO KIER, BARBIE FERREIRA, NORMAN REEDUS, CAROL KANE, PAUL DANO, RAÚL CASTILLO, LAURA ALBERT & JEFF FEUERZEIG, UDO KIER"
Repo Man,Alex Cox,8,"JOSH BROLIN, BONG JOON HO, DANIELS, JOHN DWYER, SEAN BAKER, LAURA ALBERT & JEFF FEUERZEIG, NICOLAS WINDING REFN, THE WOLFPACK"
Black Orpheus,Marcel Camus,8,"WYCLEF JEAN, QUESTLOVE, ZEINABU IRENE DAVIS, JOHN DAVID WASHINGTON AND MALCOLM WASHINGTON, BONG JOON HO, GINA PRINCE-BYTHEWOOD, EUZHAN PALCY, ETHAN HAWKE AND JONATHAN MARC SHERMAN"
Y tu mamá también,Alfonso Cuarón,8,"DIEGO LUNA, GINTS ZILBALODIS, GAEL GARCIA BERNAL, JULIO TORRES, ALESSANDRO BORGHI, FELIX VAN GROENINGEN, AND CHARLOTTE VANDERMEERSCH, SARA DOSA, PATRICK BRICE, SLAVOJ ŽIŽEK"
Pickpocket,Robert Bresson,8,"NATASHA LYONNE, JIA ZHANGKE, ALAIN GUIRAUDIE, WILLEM DAFOE, WILLIAM FRIEDKIN, OWEN KLINE, MARCO BELLOCCHIO, RENATE REINSVE"
"Salò, or The 120 Days of Sodom",Pier Paolo Pasolini,8,"BRADY CORBET, JARVIS COCKER, BILL HADER, BILL HADER, JEREMY O. HARRIS, PAUL B. PRECIADO, ALEXANDER PAYNE, ASIF KAPADIA"
Fish Tank,Andrea Arnold,7,"DANNY BOYLE, DIANE KRUGER, MAURA DELPERO, AMELIA DIMOLDENBERG, KERRY CONDON, SALLY POTTER, GINA PRINCE-BYTHEWOOD"
"Paris, Texas",Wim Wenders,7,"ROSE BYRNE, BOWEN YANG, CARRIE COON, KOJI YAKUSHO, KOJI YAKUSHO, PATRICK BRICE, ETHAN HAWKE AND JONATHAN MARC SHERMAN"
Klute,Alan J. Pakula,7,"TED DANSON & MARY STEENBURGEN, RONAN FARROW, ROSANNA ARQUETTE, ANNA KENDRICK, PAUL SCHEER, BRIT MARLING AND ZAL BATMANGLIJ, SUSANNA HOFFS"
The Leopard,Luchino Visconti,7,"LAV DIAZ, BRADY CORBET, WILLEM DAFOE, JEREMY THOMAS, CALLUM TURNER, JAMES ACHESON, BARBARA SUKOWA"
Roma,Alfonso Cuarón,7,"GUILLERMO DEL TORO, LUCY LIU, JIA ZHANGKE, JOHNNIE TO, JR, BILL HADER, KYLE MACLACHLAN"
On the Waterfront,Elia Kazan,7,"LUCY LIU, RZA, ​LUIS GUZMÁN, BENJAMIN MILLEPIED, LAURA ALBERT & JEFF FEUERZEIG, NICOLAS WINDING REFN, RON SHELTON"
Three Films by Luis Buñuel,Collector’s Set,7,"YORGOS LANTHIMOS, KARYN KUSAMA, JEREMY THOMAS, GAEL GARCIA BERNAL, BEN GIBBARDS, AMIR NADERI, RUBEN ÖSTLUND"
The Princess Bride,Rob Reiner,7,"ELLE FANNING, BENNY SAFDIE, JAMIE LEE CURTIS, JULIA GARNER, CAROL KANE, CAULEEN SMITH, BEN SINCLAIR"
Kes,Ken Loach,7,"NICK OFFERMAN, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, ANDREW GARFIELD, KERRY CONDON, M.I.A. AND STEPHEN LOVERIDGE, SEAN BAKER, ASIF KAPADIA"
