Movie Title,Director,Count,Picked By
David Lean Directs Noël Coward,David Lean,6,"CHARLOTTE WELLS, DICK CAVETT, FRANCIS FORD COPPOLA, HANS ZIMMER, JACK GARFEIN, MATTHEW BRODERICK"
The Cameraman,Edward Sedgwick,6,"BILL AND TURNER ROSS, CHERYL DUNYE, MATTEO GARRONE, MATTHEW BRODERICK, SETH ROGEN & EVAN GOLDBERG, WIM WENDERS"
Ace in the Hole,Billy Wilder,6,"ALEXANDER PAYNE, AMY HECKERLING, ARI ASTER, ETHAN HAWKE AND JONATHAN MARC SHERMAN, MARC MARON, VOLKER SCHLÖNDORFF"
True Stories,David Byrne,6,"ALAN PALOMO, DAVID BYRNE, FIVE COMICS, JOHN DWYER, PETER SARSGAARD, TUNDE ADEBIMPE"
Blood Simple,Joel Coen,6,"BARRY JENKINS, BARRY SONNENFELD, BRIT MARLING AND ZAL BATMANGLIJ, CRISTIAN MUNGIU, DANNY BOYLE, JOSH AND BENNY SAFDIE"
Naked Lunch,David Cronenberg,6,"AMY HECKERLING, FLYING LOTUS, JOHN DWYER, LUCRECIA MARTEL, NATASHA LYONNE, SETH ROGEN & EVAN GOLDBERG"
Late Spring,Yasujiro Ozu,6,"CARL FRANKLIN, HIDEO KOJIMA, MIKE LEIGH, RYAN COOGLER, RYUSUKE HAMAGUCHI, THEODORE WITCHER"
The Rules of the Game,Jean Renoir,6,"AMY IRVING, BEN AFFLECK, JEREMY THOMAS, LESLIE HARRIS, THE WOLFPACK, THEODORE WITCHER"
Amarcord,Federico Fellini,6,"BILL HADER, DIEGO LUNA, LOUIS GARREL, LUCRECIA MARTEL, PHILIP KAUFMAN, ROGER CORMAN"
Safe,Todd Haynes,6,"AUBREY PLAZA AND JEFF BAENA, BARBIE FERREIRA, CHARLES MELTON, DESIREE AKHAVAN, GASPAR NOÉ, PETER SARSGAARD"
Ikiru,Akira Kurosawa,6,"ALICIA MALONE, BILL HADER, FIVE COMICS, KOJI YAKUSHO, MARK RYLANCE, VICKY KRIEPS"
After Life,Hirokazu Kore-eda,6,"BRIT MARLING AND ZAL BATMANGLIJ, CHARLES MELTON, LILY GLADSTONE & ERICA TREMBLAY, MARK RYLANCE, RODRIGO PRIETO, WINONA RYDER"
The Blob,Irvin S. Yeaworth Jr.,6,"CHELSEA PERETTI, ERIC BANA, JANELLE MONÁE, JOHN WATERS, KEVIN BACON, RICKIE LEE JONES"
Sullivan’s Travels,Preston Sturges,6,"ETHAN HAWKE AND JONATHAN MARC SHERMAN, JAMES L. BROOKS, JOHN LITHGOW, KEVIN BACON, KIM CATTRALL, PHIL ROSENTHAL"
Stagecoach,John Ford,6,"BILL POPE, DICK CAVETT, PARK CHAN-WOOK, PHIL ROSENTHAL, THE WOLFPACK, VIGGO MORTENSEN"
A Brighter Summer Day,Edward Yang,6,"AMIR NADERI, BARRY JENKINS, KLEBER MENDONÇA FILHO, MICHELLE ZAUNER, PAUL DANO, TYLER MITCHELL"
The Essential Jacques Demy,Collector’s Set,6,"BARRY JENKINS, ETHAN HAWKE AND JONATHAN MARC SHERMAN, JOACHIM TRIER, JOHN DAVID WASHINGTON AND MALCOLM WASHINGTON, PAUL DANO, RYUSUKE HAMAGUCHI"
The Piano Teacher,Michael Haneke,6,"DAN LEVY, MAURA DELPERO, MIKEY MADISON, RAVEN JACKSON, RENATE REINSVE, WILLEM DAFOE"
Local Hero,Bill Forsyth,6,"ANDREW STANTON, CAROL KANE, DYLAN BAKER, JASON SCHWARTZMAN, JUDE LAW, LILY GLADSTONE & ERICA TREMBLAY"
The Koker Trilogy,Abbas Kiarostami,6,"ARI ASTER, JULIO TORRES, MAURA DELPERO, NURI BILGE CEYLAN, PAMELA ANDERSON, ZOË KRAVITZ AND CHANNING TATUM"
High and Low,Akira Kurosawa,6,"AYO EDEBIRI, GARRETT BRADLEY, GINTS ZILBALODIS, HIDEO KOJIMA, JOACHIM TRIER, MATTHEW MODINE"
Claudine,John Berry,6,"ANDRÉ HOLLAND, COLIN QUINN, GINA PRINCE-BYTHEWOOD, LEE DANIELS, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, TYLER MITCHELL"
Female Trouble,John Waters,6,"JACQUELINE NOVAK AND JOHN EARLY, LEE DANIELS, MARC MARON, PATTON OSWALT, ST. VINCENT, VICKY KRIEPS"
Midnight Cowboy,John Schlesinger,6,"ALDEN EHRENREICH, ANTON CORBIJN, BEN SINCLAIR, MATTHEW MODINE, SUSANNA HOFFS, ZOË KRAVITZ AND CHANNING TATUM"
Love Streams,John Cassavetes,6,"DESIREE AKHAVAN, EUZHAN PALCY, LUCRECIA MARTEL, MOLLY RINGWALD, RUBEN ÖSTLUND, SUSANNA HOFFS"
Crumb,Terry Zwigoff,6,"BEN WHEATLEY, CHELSEA PERETTI, FIVE COMICS, GUILLERMO DEL TORO, OWEN KLINE, PHILIP KAUFMAN"
Seconds,John Frankenheimer,6,"BEN WHEATLEY, GASPAR NOÉ, LEE UNKRICH, MICHAEL SHANNON, PAUL GIAMATTI, SUSANNA HOFFS"
The Philadelphia Story,George Cukor,5,"DICK CAVETT, JEREMY POPE, JOEL KIM BOOSTER, LAURA DERN, TOM ROTHMAN"
Scorsese Shorts,Martin Scorsese,5,"JOEL POTRYKUS, JOHNNIE TO, LAURA DERN, LILY GLADSTONE & ERICA TREMBLAY, ROSAMUND PIKE"
Petite maman,Céline Sciamma,5,"AIMEE LOU WOOD, AMELIA DIMOLDENBERG, BILL HADER, JODIE FOSTER, JUSTINE TRIET"
The Piano,Jane Campion,5,"ALESSANDRO BORGHI, FELIX VAN GROENINGEN, AND CHARLOTTE VANDERMEERSCH, JODIE FOSTER, LEE DANIELS, MAURA DELPERO, ROSE BYRNE"
Parasite,Bong Joon Ho,5,"AGNIESZKA HOLLAND, DIEGO LUNA, ELLE FANNING, JODIE FOSTER, JULIA GARNER"
La haine,Mathieu Kassovitz,5,"BARRY JENKINS, JODIE FOSTER, JR, RYUSUKE HAMAGUCHI, RZA"
Woman in the Dunes,Hiroshi Teshigahara,5,"ARI ASTER, GINTS ZILBALODIS, HIDEO KOJIMA, JODIE FOSTER, MARK RYLANCE"
Burden of Dreams,Les Blank,5,"DAVID REMNICK, LILA AVILÉS, MARC MARON, SARA DOSA, THE WOLFPACK"
Tiny Furniture,Lena Dunham,5,"AGNÈS VARDA, DESIREE AKHAVAN, JEREMY O. HARRIS, JULIA FOX, RACHEL SENNOTT"
Happiness,Todd Solondz,5,"ALAIN GUIRAUDIE, ANDREW GARFIELD, CARRIE COON, KATYA ZAMOLODCHIKOVA, RACHEL SENNOTT"
I Married a Witch,René Clair,5,"AUBREY PLAZA AND JEFF BAENA, CHERYL DUNYE, FLORENCE WELCH, LAURIE ANDERSON, SEAN BAKER"
Children of Paradise,Marcel Carné,5,"CARL FRANKLIN, JUNE SQUIBB, MAYA AND ETHAN HAWKE, REBECCA MILLER, STELLAN SKARSGÅRD"
Straw Dogs,Sam Peckinpah,5,"ARI ASTER, JASON SCHWARTZMAN, JOHNNIE TO, KATHRYN BIGELOW, RON SHELTON"
The Cranes Are Flying,Mikhail Kalatozov,5,"CALLUM TURNER, CATE BLANCHETT AND TODD FIELD, ISABEL SANDOVAL, NIA DACOSTA, SETH ROGEN & EVAN GOLDBERG"
The Apu Trilogy,Satyajit Ray,5,"AMIR NADERI, BARRY JENKINS, LAV DIAZ, NURI BILGE CEYLAN, SALLY POTTER"
Black Narcissus,Michael Powell and Emeric Pressburger,5,"CHARLOTTE RAMPLING AND ANDREW HAIGH, EDGAR WRIGHT, GUILLERMO DEL TORO, HARI NEF, ISABEL SANDOVAL"
Police Story / Police Story 2,Jackie Chan,5,"BOWEN YANG, DANIELS, EDGAR WRIGHT, JOEL EDGERTON, SETH ROGEN & EVAN GOLDBERG"
Days of Heaven,Terrence Malick,5,"AMY IRVING, ETHEL CAIN, KAHLIL JOSEPH, MAYA AND ETHAN HAWKE, THE WOLFPACK"
Short Cuts,Robert Altman,5,"BEN SINCLAIR, CHARLES MELTON, DEREK CIANFRANCE, FRANÇOIS GIRARD, JACQUES AUDIARD"
Some Like It Hot,Billy Wilder,5,"CLAIRE DANES, ELEGANCE BRATTON, FIVE COMICS, RICHARD E. GRANT, RON SHELTON"
The Worst Person in the World,Joachim Trier,5,"AMELIA DIMOLDENBERG, ANDREW STANTON, ELLE FANNING, GREG GONZALEZ, NATHALIE EMMANUEL"
"Chantal Akerman Masterpieces, 1968–1978",Chantal Akerman,5,"CHERYL DUNYE, KRISTIN SCOTT THOMAS, MARK DUPLASS, MARY BRONSTEIN, ST. VINCENT"
Trainspotting,Danny Boyle,5,"BEN AFFLECK, CHELSEA PERETTI, JARVIS COCKER, JOEL POTRYKUS, ROSE BYRNE"
Secrets & Lies,Mike Leigh,5,"ALICIA SILVERSTONE, JAY DUPLASS, KERRY CONDON, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, ROSE BYRNE"
Rashomon,Akira Kurosawa,5,"BARRY JENKINS, ELEGANCE BRATTON, FRANÇOIS GIRARD, NICK OFFERMAN, PAUL GIAMATTI"
Matewan,John Sayles,5,"ANDREW STANTON, ANDRÉ HOLLAND, BILLY CRUDUP, KEMP POWERS, WINONA RYDER"
Blow-Up,Michelangelo Antonioni,5,"ALICIA SILVERSTONE, CAULEEN SMITH, GAEL GARCIA BERNAL, HLYNUR PÁLMASON, RAÚL CASTILLO"
The Night Porter,Liliana Cavani,5,"ATOM EGOYAN, CHARLOTTE RAMPLING AND ANDREW HAIGH, GUY MADDIN, KRISTIN SCOTT THOMAS, PETER SARSGAARD"
Thelma & Louise,Ridley Scott,5,"AIMEE LOU WOOD, ETHEL CAIN, MARGARET QUALLEY, TRACE LYSETTE, ZOË KRAVITZ AND CHANNING TATUM"
Beau travail,Claire Denis,5,"JEREMY THOMAS, MARGARET QUALLEY, RYUSUKE HAMAGUCHI, TODD HAYNES, WIM WENDERS"
A Face in the Crowd,Elia Kazan,5,"ARI ASTER, JULIA FOX, MARC MARON, MOLLY RINGWALD, NEAL BRENNAN"
To Be or Not to Be,Ernst Lubitsch,5,"ALFONSO CUARÓN AND PAWEŁ PAWLIKOWSKI, CHIARA MASTROIANNI, KEN BURNS, MATÍAS PIÑEIRO, TOM ROTHMAN"
Harlan County USA,Barbara Kopple,5,"BILL AND TURNER ROSS, BILL POPE, ROB DELANEY, TOM ROTHMAN, ZOË KRAVITZ AND CHANNING TATUM"
The Big Chill,Lawrence Kasdan,5,"AIMEE LOU WOOD, AUBREY PLAZA AND JEFF BAENA, FIVE COMICS, JOEL KIM BOOSTER, TOM ROTHMAN"
A Matter of Life and Death,Michael Powell and Emeric Pressburger,5,"ANNIE BAKER AND LUCIAN JOHNSTON, CHRISTIAN PETZOLD, DAVID BYRNE, SALLY POTTER, STEVE COOGAN"
White Material,Claire Denis,5,"JACQUELINE NOVAK AND JOHN EARLY, JOACHIM TRIER, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, MATT DILLON, RENATE REINSVE"
Quadrophenia,Franc Roddam,5,"DYLAN BAKER, ISABEL SANDOVAL, LILY GLADSTONE & ERICA TREMBLAY, NICOLAS WINDING REFN, SIMON PEGG"
Miller’s Crossing,Joel Coen,5,"BARRY SONNENFELD, BEN AFFLECK, ELVIS MITCHELL, SETH MEYERS, TIM BLAKE NELSON"
The Daytrippers,Greg Mottola,5,"BILL HADER, DAN LEVY, LENA DUNHAM, SETH ROGEN & EVAN GOLDBERG, YO LA TENGO"
Dazed and Confused,Richard Linklater,5,"BEN AFFLECK, ISABEL SANDOVAL, MICHAEL K. WILLIAMS, ST. VINCENT, VICKY KRIEPS"
Badlands,Terrence Malick,5,"BEN AFFLECK, ERIC BANA, M.I.A. AND STEPHEN LOVERIDGE, RON SHELTON, SETH ROGEN & EVAN GOLDBERG"
Odd Man Out,Carol Reed,5,"DAVID CRONENBERG, DICK CAVETT, JOHN DWYER, KEN BURNS, NATHAN LANE"
A Special Day,Ettore Scola,5,"ALEXANDER PAYNE, CHARLES MELTON, CHIARA MASTROIANNI, CLAUDE LELOUCH, SARITA CHOUDHURY"
Cold War,Paweł Pawlikowski,5,"AIMEE LOU WOOD, ANTON CORBIJN, BILL HADER, EDWARD BERGER, MANUEL GARCIA-RULFO"
The Lady Vanishes,Alfred Hitchcock,5,"EUZHAN PALCY, JOHN LITHGOW, LUCRECIA MARTEL, RON SHELTON, STEVE COOGAN"
Bamboozled,Spike Lee,5,"ELEGANCE BRATTON, FRANKLIN LEONARD, JANE SCHOENBRUN, NEAL BRENNAN, QUESTLOVE"
Andrei Rublev,Andrei Tarkovsky,5,"CATHERINE BREILLAT, HANS ZIMMER, MATTEO GARRONE, NURI BILGE CEYLAN, WALTER SALLES"
All About My Mother,Pedro Almodóvar,5,"AGNÈS B., JULIA FOX, KERRY CONDON, PABLO LARRAÍN, TRACE LYSETTE"
Rumble Fish,Francis Ford Coppola,5,"BEN WHEATLEY, ETHAN HAWKE AND JONATHAN MARC SHERMAN, FRANCIS FORD COPPOLA, RODRIGO PRIETO, WILCO"
Five Easy Pieces,Bob Rafelson,5,"CALLUM TURNER, ETHAN HAWKE AND JONATHAN MARC SHERMAN, MICHAEL SHANNON, MIKEY MADISON, YORGOS LANTHIMOS & ARIANE LABED"
Cure,Kiyoshi Kurosawa,5,"ARI ASTER, CHARLES MELTON, CHIARA MASTROIANNI, KOJI YAKUSHO, RYUSUKE HAMAGUCHI"
Eclipse Series 3: Late Ozu,Collector’s Set,5,"HIDEO KOJIMA, ISABELLE HUPPERT, JULIETTE BINOCHE AND RALPH FIENNES, KARYN KUSAMA, TYLER MITCHELL"
Eclipse Series 2: The Documentaries of Louis Malle,Collector’s Set,5,"FRANÇOIS GIRARD, JENNI OLSON, JULIETTE BINOCHE AND RALPH FIENNES, PAYAL KAPADIA, THE QUAY BROTHERS"
A Film Trilogy by Ingmar Bergman,Collector’s Set,5,"AMIR NADERI, DENIS VILLENEUVE, EUZHAN PALCY, RENATE REINSVE, THEODORE WITCHER"
The Signifyin’ Works of Marlon Riggs,Collector’s Set,5,"CHERYL DUNYE, GARRETT BRADLEY, JEREMY POPE, JOHN DARNIELLE, KLEBER MENDONÇA FILHO"
La Ciénaga,Lucrecia Martel,5,"AZAZEL JACOBS, BARRY JENKINS, MATÍAS PIÑEIRO, RAVEN JACKSON, TYLER MITCHELL"
Girlfriends,Claudia Weill,5,"AMELIA DIMOLDENBERG, AZAZEL JACOBS, CHELSEA PERETTI, JEREMY O. HARRIS, PAULINE CHALAMET"
Good Morning,Yasujiro Ozu,5,"FIVE COMICS, IRA SACHS, JIA ZHANGKE, MICHAEL CERA, PAUL DANO"
Stalker,Andrei Tarkovsky,5,"ANNA KENDRICK, CAULEEN SMITH, FLYING LOTUS, JUDE LAW, RAMELL ROSS"
Onibaba,Kaneto Shindo,5,"HIDEO KOJIMA, JENNIFER KENT, LILA AVILÉS, MANUEL GARCIA-RULFO, WILLEM DAFOE"
Eclipse Series 24: The Actuality Dramas of Allan King,Allan King,5,"ALDEN EHRENREICH, BILL HADER, JUSTINE TRIET, MICHAEL CERA, TIM ROBBINS"
L’argent,Robert Bresson,5,"ANNIE BAKER AND LUCIAN JOHNSTON, FRANÇOIS GIRARD, HLYNUR PÁLMASON, JOSH AND BENNY SAFDIE, TYLER MITCHELL"
An Angel at My Table,Jane Campion,5,"AGNÈS VARDA, JEAN-PIERRE AND LUC DARDENNE, LEE UNKRICH, MAYA AND ETHAN HAWKE, MINNIE DRIVER"
Solaris,Andrei Tarkovsky,5,"HARRIS SAVIDES, JOACHIM TRIER, PAUL GIAMATTI, ROGER & JAMES DEAKINS, THE WOLFPACK"
Mishima: A Life in Four Chapters,Paul Schrader,5,"ARI ASTER, GASPAR NOÉ, HARI NEF, ISABEL SANDOVAL, JOACHIM TRIER"
Day for Night,François Truffaut,5,"AUBREY PLAZA AND JEFF BAENA, DESIREE AKHAVAN, PAULINE CHALAMET, RICHARD E. GRANT, SARITA CHOUDHURY"
Persona,Ingmar Bergman,4,"LAURA DERN, LAV DIAZ, LOUIS GARREL, YORGOS LANTHIMOS"
Belle de jour,Luis Buñuel,4,"CHARLOTTE GAINSBOURG, HARI NEF, KATYA ZAMOLODCHIKOVA, LAURA DERN"
Inland Empire,David Lynch,4,"LAURA DERN, MARY BRONSTEIN, TED DANSON & MARY STEENBURGEN, YORGOS LANTHIMOS"
Wings of Desire,Wim Wenders,4,"ALAN PALOMO, ATOM EGOYAN, JODIE FOSTER, PATRICK BRICE"
The Tin Drum,Volker Schlöndorff,4,"KERRY CONDON, RAMELL ROSS, RICHARD E. GRANT, WILL ARNETT"
Les Blank: Always for Pleasure,Les Blank,4,"BILL AND TURNER ROSS, HANS ZIMMER, MATÍAS PIÑEIRO, WILL ARNETT"
Citizen Kane,Orson Welles,4,"DAVID REMNICK, KEVIN SMITH, NICHOLAS BRITELL, NICHOLAS HOULT"
Rushmore,Wes Anderson,4,"FLYING LOTUS, LAURA ALBERT & JEFF FEUERZEIG, TED DANSON & MARY STEENBURGEN, THE WOLFPACK"
Hobson’s Choice,David Lean,4,"AZAZEL JACOBS, CAROL KANE, MICHAEL CERA, TED DANSON & MARY STEENBURGEN"
Hollywood Shuffle,Robert Townsend,4,"BEN AFFLECK, CHELSEA PERETTI, KEVIN SMITH, VINCE STAPLES"
Pina,Wim Wenders,4,"FLORENCE WELCH, KATYA ZAMOLODCHIKOVA, KEN BURNS, MAYA AND ETHAN HAWKE"
The Grifters,Stephen Frears,4,"ARI ASTER, CLAIRE DANES, DANNY BOYLE, LUCY LIU"
Twin Peaks: Fire Walk with Me,David Lynch,4,"GREGG ARAKI, JACQUELINE NOVAK AND JOHN EARLY, JOHN WATERS, NIA DACOSTA"
The Ranown Westerns: Five Films Directed by Budd Boetticher,Collector’s Set,4,"AMY IRVING, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, TRACY LETTS, VIGGO MORTENSEN"
’Round Midnight,Bertrand Tavernier,4,"CARL FRANKLIN, ELVIS MITCHELL, JERRY SCHATZBERG, TRACY LETTS"
love jones,Theodore Witcher,4,"ELVIS MITCHELL, RYAN COOGLER, TRACE LYSETTE, TRACY LETTS"
Lost Highway,David Lynch,4,"AGNÈS B., JOSH BROLIN, LAV DIAZ, MARY HARRON"
World of Wong Kar Wai,Collector’s Set,4,"ALESSANDRO BORGHI, FELIX VAN GROENINGEN, AND CHARLOTTE VANDERMEERSCH, BRADY CORBET, LUCA GUADAGNINO, RAMELL ROSS"
Tampopo,Juzo Itami,4,"ANDREW GARFIELD, BI GAN, DANIELS, KAHLIL JOSEPH"
A Woman Under the Influence,John Cassavetes,4,"CHARLOTTE WELLS, CLAIRE DANES, JAMIE LEE CURTIS, ZOË KRAVITZ AND CHANNING TATUM"
The Virgin Suicides,Sofia Coppola,4,"DAN LEVY, ELLE FANNING, JULIA FOX, JULIO TORRES"
An Unmarried Woman,Paul Mazursky,4,"JASON SCHWARTZMAN, JUSTINE TRIET, ROSE BYRNE, TRACE LYSETTE"
Il posto,Ermanno Olmi,4,"CHARLES BURNETT, JOSH AND BENNY SAFDIE, MAURA DELPERO, WAGNER MOURA"
Salesman,"David Maysles, Albert Maysles, and Charlotte Zwerin",4,"ANDREW GARFIELD, GUILLERMO DEL TORO, SETH MEYERS, YORGOS LANTHIMOS & ARIANE LABED"
Menace II Society,Albert Hughes and Allen Hughes,4,"JOHN DAVID WASHINGTON AND MALCOLM WASHINGTON, NEAL BRENNAN, REGINALD HUDLIN, WYCLEF JEAN"
Original Cast Album: “Company”,D. A. Pennebaker,4,"ANDREW GARFIELD, JEREMY O. HARRIS, JOHN DARNIELLE, JUDD APATOW"
Paper Moon,Peter Bogdanovich,4,"ALICIA SILVERSTONE, ANDREW STANTON, JAMIE LEE CURTIS, MAURA TIERNEY"
Elevator to the Gallows,Louis Malle,4,"JOSEPH KOSINSKI, KRISTIN SCOTT THOMAS, PAMELA ANDERSON, PETER WOLF"
Ivan’s Childhood,Andrei Tarkovsky,4,"CHARLOTTE RAMPLING AND ANDREW HAIGH, JERZY SKOLIMOWSKI, KRISTIN SCOTT THOMAS, NICOLAS WINDING REFN"
The Silence of the Lambs,Jonathan Demme,4,"BEN AFFLECK, BETSEY JOHNSON, ERIC BANA, TUNDE ADEBIMPE"
Band of Outsiders,Jean-Luc Godard,4,"AGNÈS VARDA, BILL POPE, MOLLY RINGWALD, PETER WOLF"
Uncut Gems,Josh Safdie and Benny Safdie,4,"JAMIE LEE CURTIS, JOEL EDGERTON, MINNIE DRIVER, NATASHA LYONNE"
Crash,David Cronenberg,4,"BERTRAND BONELLO, DIANE KRUGER, ETHEL CAIN, ROSANNA ARQUETTE"
The Lady Eve,Preston Sturges,4,"AUBREY PLAZA AND JEFF BAENA, CHRISTIAN PETZOLD, JAMES L. BROOKS, MATTHEW BRODERICK"
My Man Godfrey,Gregory La Cava,4,"FLOYD NORMAN, MARY HARRON, MATTHEW BRODERICK, RICKIE LEE JONES"
The Parallax View,Alan J. Pakula,4,"ARI ASTER, ELVIS MITCHELL, JOSEPH KOSINSKI, WILCO"
The Ice Storm,Ang Lee,4,"CAROL KANE, MAURA TIERNEY, SETH ROGEN & EVAN GOLDBERG, TOM ROTHMAN"
Breathless,Jean-Luc Godard,4,"BARRY JENKINS, JOSEPH KOSINSKI, PAMELA ANDERSON, SETH ROGEN & EVAN GOLDBERG"
Ghost Dog: The Way of the Samurai,Jim Jarmusch,4,"JOHN DAVID WASHINGTON AND MALCOLM WASHINGTON, RAMELL ROSS, RZA, WINONA RYDER"
My Life as a Dog,Lasse Hallström,4,"CARL FRANKLIN, COLIN QUINN, JOEL EDGERTON, SIMON PEGG"
Watership Down,Martin Rosen,4,"BEN WHEATLEY, CHARLOTTE RAMPLING AND ANDREW HAIGH, KEMP POWERS, SETH MEYERS"
Lost in America,Albert Brooks,4,"JAMES L. BROOKS, KLEBER MENDONÇA FILHO, SETH MEYERS, WINONA RYDER"
Heaven Can Wait,Ernst Lubitsch,4,"KIM CATTRALL, NATASHA LYONNE, NATHAN LANE, RYUSUKE HAMAGUCHI"
Umberto D.,Vittorio De Sica,4,"MARCO BELLOCCHIO, MOLLY RINGWALD, NATASHA LYONNE, WILLIAM FRIEDKIN"
Thief,Michael Mann,4,"AMY IRVING, AYO EDEBIRI, PATRICK BRICE, RYAN COOGLER"
Dietrich & von Sternberg in Hollywood,Josef von Sternberg,4,"ALESSANDRO BORGHI, FELIX VAN GROENINGEN, AND CHARLOTTE VANDERMEERSCH, DIANE KRUGER, JERRY SCHATZBERG, MOLLY RINGWALD"
Being John Malkovich,Spike Jonze,4,"BEN SINCLAIR, CHARLOTTE GAINSBOURG, MICHAEL SHANNON, PAUL W. DOWNS"
Black Girl,Ousmane Sembène,4,"CAULEEN SMITH, ROSINE MBAKAM, TUNDE ADEBIMPE, YO LA TENGO"
The Vanishing,George Sluizer,4,"ASIF KAPADIA, BARBIE FERREIRA, CHRIS EIGEMAN, ZOË KRAVITZ AND CHANNING TATUM"
Red Desert,Michelangelo Antonioni,4,"ANDRÉ GREGORY AND WALLACE SHAWN, BARBIE FERREIRA, PARK CHAN-WOOK, PAUL B. PRECIADO"
The Killing,Stanley Kubrick,4,"FRANÇOIS GIRARD, SETH ROGEN & EVAN GOLDBERG, THE WOLFPACK, ZOË KRAVITZ AND CHANNING TATUM"
L’eclisse,Michelangelo Antonioni,4,"ANDRÉ GREGORY AND WALLACE SHAWN, ROSAMUND PIKE, SARITA CHOUDHURY, VOLKER SCHLÖNDORFF"
A Taste of Honey,Tony Richardson,4,"AUBREY PLAZA AND JEFF BAENA, KIM CATTRALL, RICKIE LEE JONES, ROSAMUND PIKE"
Mean Streets,Martin Scorsese,4,"CALLUM TURNER, CHIARA MASTROIANNI, JR, ROSAMUND PIKE"
Saint Omer,Alice Diop,4,"ANNA KENDRICK, FRANKLIN LEONARD, ISABELLE HUPPERT, ZEINABU IRENE DAVIS"
The Complete Monterey Pop Festival,D. A. Pennebaker,4,"BEN GIBBARDS, QUESTLOVE, RICKIE LEE JONES, YO LA TENGO"
Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",4,"KEVIN BACON, MARC MARON, QUESTLOVE, THE WOLFPACK"
The Spirit of the Beehive,Víctor Erice,4,"DESIREE AKHAVAN, HLYNUR PÁLMASON, KLEBER MENDONÇA FILHO, MICHELLE ZAUNER"
Walkabout,Nicolas Roeg,4,"ALICIA MALONE, ARI ASTER, ATOM EGOYAN, JOSH AND BENNY SAFDIE"
The Damned,Luchino Visconti,4,"BRADY CORBET, CARL FRANKLIN, KARYN KUSAMA, MARK BRIDGES"
Time,Garrett Bradley,4,"BILL AND TURNER ROSS, SAUL WILLIAMS AND ANISIA UZEYMAN, TYLER MITCHELL, WALTER SALLES"
Eyes Without a Face,Georges Franju,4,"CHARLES MELTON, EDGAR WRIGHT, LUCRECIA MARTEL, MIKEY MADISON"
Life Is Sweet,Mike Leigh,4,"DESIREE AKHAVAN, HARRIS DICKINSON, PARK CHAN-WOOK, SEAN BAKER"
Fantastic Mr. Fox,Wes Anderson,4,"FLYING LOTUS, GINTS ZILBALODIS, JARVIS COCKER, NICHOLAS HOULT"
Rebecca,Alfred Hitchcock,4,"CHIARA MASTROIANNI, FLOYD NORMAN, KEN BURNS, TYLER MITCHELL"
Things to Come,William Cameron Menzies,4,"BEN WHEATLEY, CHIARA MASTROIANNI, NICOLAS WINDING REFN, YORGOS LANTHIMOS & ARIANE LABED"
Eclipse Series 23: The First Films of Akira Kurosawa,Akira Kurosawa,4,"BENJAMIN MILLEPIED, JOHNNIE TO, JULIETTE BINOCHE AND RALPH FIENNES, MARIANNE JEAN-BAPTISTE & MIKE LEIGH"
Au hasard Balthazar,Robert Bresson,4,"CALLUM TURNER, JULIETTE BINOCHE AND RALPH FIENNES, WIM WENDERS, YORGOS LANTHIMOS & ARIANE LABED"
The Qatsi Trilogy,Godfrey Reggio,4,"BENJAMIN MILLEPIED, GINTS ZILBALODIS, KARYN KUSAMA, RAMELL ROSS"
The Exterminating Angel,Luis Buñuel,4,"ALAIN GUIRAUDIE, AZAZEL JACOBS, BEN GIBBARDS, EDWARD BERGER"
M,Fritz Lang,4,"AMY HECKERLING, JACQUES AUDIARD, THE WOLFPACK, WILLIAM FRIEDKIN"
"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",Stanley Kubrick,4,"BARRY SONNENFELD, MATTHEW MODINE, PHIL ROSENTHAL, ​LUIS GUZMÁN"
One-Eyed Jacks,Marlon Brando,4,"BARRY LEVINSON, ETHAN HAWKE AND JONATHAN MARC SHERMAN, NICK LOWE, PAUL DANO"
Cat People,Jacques Tourneur,4,"BILL HADER, KIM CATTRALL, LUCRECIA MARTEL, PAUL GIAMATTI"
Don’t Look Now,Nicolas Roeg,4,"ASIF KAPADIA, EDGAR WRIGHT, GINA GERSHON, KLEBER MENDONÇA FILHO"
Old Joy,Kelly Reichardt,4,"BEN GIBBARDS, BEN SINCLAIR, LILY GLADSTONE & ERICA TREMBLAY, TODD HAYNES"
Knife in the Water,Roman Polanski,4,"DESIREE AKHAVAN, FREDERICK WISEMAN, JERRY SCHATZBERG, NURI BILGE CEYLAN"
Two-Lane Blacktop,Monte Hellman,4,"ALFONSO CUARÓN AND PAWEŁ PAWLIKOWSKI, BEN WHEATLEY, PAUL SCHEER, ROBERT DOWNEY SR."
Carnival of Souls,Herk Harvey,4,"FLYING LOTUS, LUCRECIA MARTEL, PAUL GIAMATTI, YO LA TENGO"
Weekend,Andrew Haigh,4,"BARRY JENKINS, CHARLOTTE RAMPLING AND ANDREW HAIGH, DAN LEVY, RAVEN JACKSON"
